horizon,country,group,importance_mean,share_pct,n
6,AT,Meteorological,2.196305841807554,18.562939950812893,831
6,AT,Temporal,2.174054725219845,18.374875914742102,831
6,AT,Other Pollutants,2.0953847981634564,17.7099661812777,831
6,AT,Metadata,0.6157556958771794,5.204300689530576,831
6,BE,PM2.5 History,4.5773947649833815,37.74105450381126,605
6,BE,Meteorological,2.6324875376200643,21.705109727035627,605
6,BE,Temporal,2.4366724122893757,20.090595424203155,605
6,BE,Other Pollutants,1.8311086732777297,15.097664892100962,605
6,BE,Metadata,0.650759691585037,5.3655754528489865,605
6,ES,PM2.5 History,4.42025510175914,34.715862859489064,688
6,ES,Meteorological,3.027471788227125,23.77720131338971,688
6,ES,Other Pollutants,2.2394016071185106,17.587844432124776,688
6,ES,Temporal,2.2108655727920214,17.363727716816236,688
6,ES,Metadata,0.8346726065730616,6.55536367818022,688
6,FI,PM2.5 History,5.032703519877727,40.39502200142143,380
6,FI,Other Pollutants,2.3660543936544367,18.99114837795033,380
6,FI,Meteorological,1.714129806506969,13.758472155900725,380
6,FI,Metadata,1.6871852624312635,13.542201627255945,380
6,FI,Temporal,1.6586490840768995,13.313155837471566,380
6,FR,PM2.5 History,4.326957438838994,35.92206621163021,496
6,FR,Temporal,2.5519192717194916,21.18583654708645,496
6,FR,Meteorological,2.3874211149098103,19.820185563887957,496
6,FR,Other Pollutants,2.005228487550205,16.647251912547844,496
6,FR,Metadata,0.7738761238772037,6.424659764847542,496
12,AT,PM2.5 History,3.9044896842812524,33.644136519082615,858
12,AT,Meteorological,2.6458517324406503,22.79872764265505,858
12,AT,Temporal,2.2957000017519325,19.78154650446161,858
12,AT,Other Pollutants,1.8894575033818515,16.281043447675536,858
12,AT,Metadata,0.8697615729906164,7.494545886125199,858
12,BE,PM2.5 History,3.8482728426544925,31.92130082838566,600
12,BE,Meteorological,3.1311532928497203,25.972816972068333,600
12,BE,Temporal,2.734262195555158,22.68061794386516,600
12,BE,Other Pollutants,1.5734542949761237,13.051753330203722,600
12,BE,Metadata,0.7683586937367195,6.373510925477111,600
12,ES,PM2.5 History,3.7312556099659804,29.404718885631738,713
12,ES,Meteorological,3.6768738793053934,28.97615550918611,713
12,ES,Temporal,2.111805901402424,16.642402816333075,713
12,ES,Other Pollutants,1.9430915256604273,15.312823899946938,713
12,ES,Metadata,1.2262819815964856,9.663898888902134,713
12,FI,PM2.5 History,4.182882868014662,33.970951690695536,381
12,FI,Metadata,2.584987097499611,20.99376783455337,381
12,FI,Meteorological,1.9897449666288711,16.159556045669564,381
12,FI,Other Pollutants,1.9013882846518098,15.441974255860199,381
12,FI,Temporal,1.654113313173594,13.433750173221329,381
12,FR,PM2.5 History,3.71009505356002,30.987364539779048,448
12,FR,Meteorological,2.937369453909709,24.533424815887773,448
12,FR,Temporal,2.595336369879115,21.67670451451681,448
12,FR,Other Pollutants,1.7237846041517426,14.397351320056858,448
12,FR,Metadata,1.0063431901110416,8.405154809759523,448
24,AT,PM2.5 History,4.152239697407271,33.378313444964256,843
24,AT,Meteorological,2.8274228068275256,22.728602288220227,843
24,AT,Temporal,2.5387566726625423,20.40812240043309,843
24,AT,Other Pollutants,1.5231769530024344,12.244254059130274,843
24,AT,Metadata,1.3983364756037402,11.240707807252159,843
24,BE,PM2.5 History,3.8770296707691894,29.242630197491348,613
24,BE,Meteorological,3.7878812454871658,28.570225120773507,613
24,BE,Temporal,2.861510618877014,21.583042674371303,613
24,BE,Other Pollutants,1.4244933431842768,10.744290240435932,613
24,BE,Metadata,1.3072279241098517,9.859811766927905,613
24,ES,Meteorological,5.162032058387582,31.54059823574876,666
24,ES,PM2.5 History,3.8070006000823566,23.26120315648695,666
24,ES,Metadata,2.9242623073455447,17.867572600999978,666
24,ES,Temporal,2.5151772844363287,15.368016959752763,666
24,ES,Other Pollutants,1.957837671342602,11.962609047011547,666
24,FI,PM2.5 History,4.4819029271759545,31.273489343197408,397
24,FI,Metadata,3.7821743910346366,26.390975537407538,397
24,FI,Meteorological,2.4726603075737716,17.25354543253804,397
24,FI,Temporal,1.9699779603580334,13.745965887844418,397
24,FI,Other Pollutants,1.6246015175912043,11.336023799012601,397
24,FR,PM2.5 History,3.8678976111291075,29.943015629347073,481
24,FR,Meteorological,3.365006738934665,26.04992673199685,481
24,FR,Temporal,2.675742735989694,20.71404535976404,481
24,FR,Other Pollutants,1.5095345449345074,11.685939240469862,481
24,FR,Metadata,1.4993469807200313,11.607073038422184,481
