Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Country,FI,24,2.703276872634888,3.673016829196877,0.2072135806083679,0.947035014629364,42622.0,-0.04869039520097207,-0.5689276682298434
Country,FR,24,4.349674701690674,6.252942422606312,0.3607140183448791,0.6712056398391724,36310.0,-0.588890431881345,-1.186327741014365
StationArea,rural,1,0.5506945252418518,1.019958757239888,0.8965906500816345,0.1050522327423095,11062.0,0.11059182598312833,0.05090605408815563
StationArea,rural-nearcity,1,0.8894376158714294,1.5013208137219445,0.9549493193626404,-0.0034609411377459,16840.0,0.07416023018259332,0.06225606974881903
StationArea,suburban,1,1.167823076248169,2.190622226860261,0.9153469800949096,0.0188737735152244,105923.0,0.04511798637439246,-0.0790158530109224
StationArea,urban,1,1.4375451803207395,2.4216236599356447,0.8980622291564941,0.0739299580454826,242081.0,-0.004834370221021178,-0.15070157530661543
StationArea,rural,3,1.0704306364059448,1.7172612765346384,0.7066002488136292,0.318166434764862,11026.0,0.13944632865154605,-0.024003394749268603
StationArea,rural-nearcity,3,1.8401966094970703,2.8733150686345863,0.834934651851654,0.0862554684281349,16832.0,0.05688799227986463,-0.06780538293851102
StationArea,suburban,3,2.218334674835205,3.5273340168055083,0.7784866094589233,0.0799574479460716,105703.0,-0.03163363219959958,-0.2927163942832709
StationArea,urban,3,2.485687017440796,3.834844926983837,0.7445198893547058,0.1716039478778839,241311.0,-0.1329779698457343,-0.41719598454214735
StationArea,rural,6,1.406745195388794,2.133546584120283,0.5479981899261475,0.4313454329967499,10972.0,0.07588236991486053,-0.1334621633321862
StationArea,rural-nearcity,6,2.516831874847412,3.7752017996704312,0.7148997783660889,0.2409669756889343,16820.0,-0.1744771121323736,-0.4266861845143488
StationArea,suburban,6,2.926849126815796,4.446989631381685,0.6464961767196655,0.1282953470945358,105373.0,-0.29578127785712827,-0.6850744171964873
StationArea,urban,6,3.192476272583008,4.744435715400553,0.6094962358474731,0.2161003649234771,240156.0,-0.40743144038314716,-0.8373146098227142
StationArea,rural,12,1.7572832107543943,2.5122901183569435,0.3766255378723144,0.4960344135761261,10864.0,0.01955020915277439,-0.21483769493160398
StationArea,rural-nearcity,12,3.202383756637573,4.682496923149308,0.5613006353378296,0.3647782504558563,16796.0,-0.47526452991874946,-0.8484200776127908
StationArea,suburban,12,3.5954315662384038,5.33117266438999,0.4908636212348938,0.1384412944316864,104713.0,-0.5902341733545788,-1.104405229627905
StationArea,urban,12,3.801660299301148,5.532982161688442,0.4701023697853088,0.25018310546875,237846.0,-0.6863643127196553,-1.211986889365039
StationArea,rural,24,2.256854057312012,2.9807688710707074,0.129495084285736,1.091678261756897,10648.0,0.14308693140104278,-0.2944968465001807
StationArea,rural-nearcity,24,3.91971755027771,5.489555846211228,0.3961889147758484,0.630350649356842,16748.0,-0.33213567733155624,-0.9583975608006838
StationArea,suburban,24,4.239115715026856,6.055682566921615,0.3398658633232116,0.4090320765972137,103393.0,-0.5541615322355309,-1.3136228176027407
StationArea,urban,24,4.364625453948975,6.185720476822632,0.3383628726005554,0.4402051568031311,233226.0,-0.5506108371875191,-1.2418181994464028
